Thu Feb 2 05:54:34 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 85745554
numbers of Z: 35096
shape of features
(35096,)
shape of features
(35096,)
ZX	Vol	Parts	Cubes	Eps
X	0.024496645557355184	22316	22.316	0.10315653722079154
X	0.02427024124115332	16029	16.029	0.11483013835248426
X	0.024239877119300732	13478	13.478	0.12160972898487758
X	0.02263118982947285	4267	4.267	0.17439267855832463
X	0.02349996753947058	4287	4.287	0.1763212243882464
X	0.02486986380253002	7376	7.376	0.1499515063827385
X	0.02275483802655085	4204	4.204	0.17557810080536687
X	0.023071163738129837	5853	5.853	0.15796601381483172
X	0.02287299435282617	4088	4.088	0.17752957438176623
X	0.02293595753250231	8567	8.567	0.13885537733595485
X	0.023171271931258782	7979	7.979	0.14267037507062386
X	0.02285505576981994	27368	27.368	0.09417010935221909
X	0.022803020549748598	7581	7.581	0.1443517192187893
X	0.023038509176091536	34798	34.798	0.08715654974398582
X	0.022920964561194426	7035	7.035	0.14824825701262062
X	0.022851855906358208	6336	6.336	0.15335646982464318
X	0.02340072591328524	7688	7.688	0.14492344585372685
X	0.022493439255764535	1480	1.48	0.2477030664425785
X	0.024612736764278328	34541	34.541	0.08931855053883754
X	0.02283892450420162	4473	4.473	0.17219700104569832
X	0.02286865179448022	7361	7.361	0.1459154396517431
X	0.02281231936157219	2861	2.861	0.1997793189843584
X	0.0226836350262885	7270	7.27	0.14612552349797917
X	0.022753490084066925	4034	4.034	0.1780071208233064
X	0.023001533898623836	4683	4.683	0.16998510987398943
X	0.022845254465712454	8264	8.264	0.1403466003650596
X	0.02444238743700342	10958	10.958	0.13065843216698106
X	0.02368380171586678	1439	1.439	0.2543686240884367
X	0.024345232755209018	2910	2.91	0.2030051149839256
X	0.022669554466154786	2136	2.136	0.21975929111521655
X	0.023922605524811028	15452	15.452	0.11568434531939033
X	0.024390546151715087	4157	4.157	0.180362882263394
X	0.024341215235976467	11468	11.468	0.12851432044280822
X	0.02371553931428103	7080	7.08	0.14962353663369315
X	0.02363466116230487	14377	14.377	0.11802129325101404
X	0.022770274301856047	4918	4.918	0.1666709506964528
X	0.022838489899791006	11266	11.266	0.1265608003495875
X	0.022757380461178693	6827	6.827	0.14938172004107586
X	0.024506834145980483	8133	8.133	0.14443711762931016
X	0.02255466747152145	4342	4.342	0.17318709857407913
X	0.022881608990257266	17149	17.149	0.11009035019255839
X	0.02281479762835676	5319	5.319	0.16247836625091172
X	0.023417922812871392	9934	9.934	0.13308876800687816
X	0.023114273746763253	8003	8.003	0.14241065322192376
X	0.023214935306939726	5910	5.91	0.1577829236021927
X	0.02403215155339297	9893	9.893	0.13442752880063186
X	0.024408923049191022	11349	11.349	0.12908140208657906
X	0.02437307016624933	30719	30.719	0.09257656338838202
X	0.022889082631094165	5618	5.618	0.15971616881994774
X	0.02264434588213318	2008	2.008	0.22424977905080618
X	0.022876504402382276	6810	6.81	0.14976632873365522
X	0.022768710074116124	3987	3.987	0.1787436945903988
X	0.022844234194898973	9840	9.84	0.13241194606688358
X	0.023908110919880474	6725	6.725	0.15262218183496415
X	0.02271826332372219	4331	4.331	0.1737516677249087
X	0.022837702075430993	3859	3.859	0.18088082973275976
X	0.02287980023785076	4422	4.422	0.1729595300952218
X	0.023446319346970897	3368	3.368	0.19094173494997926
X	0.022934369081731926	11030	11.03	0.1276351897290978
X	0.022939024400466027	4926	4.926	0.16699117169475053
X	0.024494764883969036	22366	22.366	0.10307697184678134
X	0.02412890727291748	9160	9.16	0.13810648126070194
X	0.022872619179665446	8357	8.357	0.13987985249787263
X	0.022851543359941016	3716	3.716	0.18320891829881172
X	0.02459981386413628	12440	12.44	0.12551736501935457
X	0.02394624557385419	7444	7.444	0.14761948612184778
X	0.02277315954800949	5762	5.762	0.15810660441499538
X	0.024920896779033527	18328	18.328	0.11078548502298678
X	0.02349546320078268	10041	10.041	0.13276054138480511
X	0.022954252134222926	8132	8.132	0.14132595404299728
X	0.022815886645622736	6468	6.468	0.15222609723101158
X	0.02295710403523792	10382	10.382	0.13028028279310608
X	0.022864368283819433	2386	2.386	0.21240411315363425
X	0.022924627077369402	3930	3.93	0.1800127402718808
X	0.02297226354605622	2162	2.162	0.2198447168696554
X	0.022741083640818366	2392	2.392	0.21184423997250806
X	0.022909437994844267	9871	9.871	0.1323989155242804
X	0.024486378151051404	6698	6.698	0.15404932616409692
X	0.022840277481836622	11536	11.536	0.12556888641146602
X	0.02271675164279592	2790	2.79	0.20117808767081813
X	0.022978115012814288	10294	10.294	0.130690317083529
X	0.022848596480310183	9434	9.434	0.13429336371994058
